J1,J2,J3
1.261376,0.021790,-0.023439
1.261301,0.039386,-0.010038
1.261052,0.058389,0.004431
1.260589,0.078794,0.019967
1.259871,0.100596,0.036564
1.258853,0.123790,0.054218
1.257489,0.148367,0.072922
1.255728,0.174316,0.092668
1.253518,0.201626,0.113445
1.250803,0.230282,0.135242
1.247526,0.260264,0.158044
1.243626,0.291552,0.181835
1.239041,0.324120,0.206595
1.233706,0.357940,0.232301
1.227555,0.392979,0.258927
1.220519,0.429198,0.286445
1.212528,0.466555,0.314820
1.203509,0.505001,0.344016
1.193390,0.544483,0.373992
1.182097,0.584941,0.404701
1.169554,0.626309,0.436092
1.155688,0.668512,0.468109
1.140422,0.711471,0.500692
1.123682,0.755099,0.533772
1.105394,0.799299,0.567277
1.085485,0.843967,0.601128
1.063884,0.888993,0.635241
1.040521,0.934255,0.669522
1.015332,0.979624,0.703876
0.988252,1.024961,0.738195
0.959223,1.070120,0.772370
0.928192,1.114943,0.806281
0.895108,1.159264,0.839805
0.859928,1.202910,0.872807
0.822618,1.245696,0.905151
0.783147,1.287429,0.936691
0.741497,1.327908,0.967275
0.697655,1.366923,0.996747
0.651620,1.404259,1.024942
0.603402,1.439689,1.051693
0.553023,1.472985,1.076827
0.500516,1.503908,1.100165
0.445928,1.532218,1.121527
0.389320,1.557670,1.140730
0.330769,1.580016,1.157587
0.270366,1.599008,1.171911
0.208220,1.614396,1.183516
0.144455,1.625933,1.192216
0.079215,1.633375,1.197828
0.012661,1.636483,1.200172
-0.055029,1.635026,1.199073
-0.123656,1.628781,1.194364
-0.193003,1.617536,1.185884
-0.262834,1.601095,1.173485
-0.332893,1.579274,1.157027
-0.402908,1.551913,1.136386
-0.472586,1.518867,1.111454
-0.541617,1.480021,1.082138
-0.609676,1.435282,1.048366
-0.676422,1.384588,1.010088
-0.741497,1.327908,0.967275
-0.804533,1.265246,0.919927
-0.865149,1.196644,0.868070
-0.922957,1.122183,0.811758
-0.977560,1.041984,0.751079
-1.028557,0.956216,0.686153
-1.075547,0.865092,0.617134
-1.118130,0.768871,0.544213
-1.155908,0.667867,0.467620
-1.188495,0.562438,0.387621
-1.215515,0.452999,0.304524
-1.236607,0.340013,0.218675
-1.251433,0.223997,0.130462
-1.259677,0.105517,0.040310
-1.261052,-0.014808,-0.051314
-1.255304,-0.136314,-0.143905
-1.242219,-0.258289,-0.236925
-1.221623,-0.379979,-0.329796
-1.193390,-0.500590,-0.421912
-1.157445,-0.619293,-0.512638
-1.113769,-0.735228,-0.601313
-1.062403,-0.847513,-0.687256
-1.003451,-0.955246,-0.769771
-0.937085,-1.057515,-0.848153
-0.863546,-1.153406,-0.921690
-0.783147,-1.242009,-0.989677
-0.696278,-1.322431,-1.051419
-0.603402,-1.393801,-1.106237
-0.505059,-1.455284,-1.153480
-0.401864,-1.506092,-1.192535
-0.294507,-1.545492,-1.222828
-0.183750,-1.572816,-1.243841
-0.070423,-1.587480,-1.255119
0.044579,-1.588985,-1.256277
0.160302,-1.576937,-1.247010
0.275740,-1.551051,-1.227102
0.389844,-1.511164,-1.196434
0.501526,-1.457247,-1.154989
0.609676,-1.389408,-1.102862
0.713168,-1.307902,-1.040262
0.810874,-1.213139,-0.967521
0.901675,-1.105687,-0.885089
0.984479,-0.986273,-0.793546
1.058229,-0.855788,-0.693593
1.121927,-0.715283,-0.586054
1.174638,-0.565969,-0.471874
1.215515,-0.409206,-0.352111
1.243809,-0.246501,-0.227932
1.258888,-0.079496,-0.100600
1.260247,0.090048,0.028534
1.247526,0.260264,0.158044
1.220519,0.429198,0.286445
1.179191,0.594830,0.412206
1.123682,0.755099,0.533772
1.054319,0.907925,0.649581
0.971620,1.051241,0.758084
0.876299,1.183021,0.857769
0.769265,1.301310,0.947180
0.651620,1.404259,1.024942
0.524656,1.490154,1.089785
0.389844,1.557452,1.140566
0.248819,1.604813,1.176289
0.103372,1.631129,1.196134
-0.044579,1.635555,1.199472
-0.193003,1.617536,1.185884
-0.339790,1.576830,1.155183
-0.482774,1.513527,1.107424
-0.619770,1.428066,1.042918
-0.748603,1.321246,0.962242
-0.867150,1.194224,0.866240
-0.973373,1.048524,0.756028
-1.065359,0.886020,0.632988
-1.141361,0.708923,0.498759
-1.199829,0.519762,0.355224
-1.239451,0.321353,0.204491
-1.259189,0.116763,0.048870
-1.258305,-0.090732,-0.109162
-1.236390,-0.297697,-0.266992
-1.193390,-0.500590,-0.421912
-1.129621,-0.695825,-0.571168
-1.045781,-0.879833,-0.712005
