J1,J2,J3
0.000000,1.636565,1.200233
0.000000,1.657747,1.176495
0.000000,1.680415,1.150692
0.000000,1.704517,1.122788
0.000000,1.729996,1.092750
0.000000,1.756792,1.060541
0.000000,1.784836,1.026125
0.000000,1.814055,0.989466
0.000000,1.844371,0.950530
0.000000,1.875699,0.909281
0.000000,1.907945,0.865689
0.000000,1.941013,0.819722
0.000000,1.974795,0.771354
0.000000,2.009180,0.720560
0.000000,2.044045,0.667320
0.000000,2.079264,0.611619
0.000000,2.114699,0.553447
0.000000,2.150205,0.492800
0.000000,2.185630,0.429681
0.000000,2.220811,0.364101
0.000000,2.255579,0.296078
0.000000,2.289753,0.225641
0.000000,2.323145,0.152829
0.000000,2.355559,0.077690
0.000000,2.386789,0.000286
0.000000,2.416619,-0.079311
0.000000,2.444827,-0.161012
0.000000,2.471182,-0.244717
0.000000,2.495444,-0.330309
0.000000,2.517365,-0.417656
0.000000,2.536692,-0.506611
0.000000,2.553165,-0.597006
0.000000,2.566517,-0.688659
0.000000,2.576477,-0.781368
0.000000,2.582770,-0.874912
0.000000,2.585118,-0.969051
0.000000,2.583242,-1.063526
0.000000,2.576861,-1.158059
0.000000,2.565699,-1.252351
0.000000,2.549479,-1.346086
0.000000,2.527931,-1.438926
0.000000,2.500792,-1.530517
0.000000,2.467808,-1.620487
0.000000,2.428736,-1.708445
0.000000,2.383347,-1.793986
0.000000,2.331431,-1.876691
0.000000,2.272795,-1.956126
0.000000,2.207270,-2.031846
0.000000,2.134714,-2.103398
0.000000,2.055011,-2.170321
0.000000,1.968082,-2.232149
0.000000,1.873879,-2.288415
0.000000,1.772398,-2.338649
0.000000,1.663673,-2.382390
0.000000,1.547789,-2.419180
0.000000,1.424877,-2.448571
0.000000,1.295122,-2.470131
0.000000,1.158764,-2.483445
0.000000,1.016101,-2.488116
0.000000,0.867493,-2.483777
0.000000,0.713362,-2.470086
0.000000,0.554194,-2.446735
0.000000,0.390542,-2.413454
0.000000,0.223023,-2.370013
0.000000,0.052322,-2.316229
0.000000,-0.120810,-2.251966
0.000000,-0.295559,-2.177143
0.000000,-0.471047,-2.091735
0.000000,-0.646339,-1.995780
0.000000,-0.820441,-1.889381
0.000000,-0.992311,-1.772710
0.000000,-1.160860,-1.646010
0.000000,-1.324959,-1.509602
0.000000,-1.483448,-1.363887
0.000000,-1.635145,-1.209348
0.000000,-1.778852,-1.046553
0.000000,-1.913368,-0.876158
0.000000,-2.037499,-0.698910
0.000000,-2.150069,-0.515645
0.000000,-2.249935,-0.327294
0.000000,-2.335999,-0.134878
0.000000,-2.407220,0.060490
0.000000,-2.462630,0.257609
0.000000,-2.501348,0.455189
0.000000,-2.522594,0.651860
0.000000,-2.525702,0.846176
0.000000,-2.510135,1.036623
0.000000,-2.475498,1.221626
0.000000,-2.421547,1.399565
0.000000,-2.348205,1.568784
0.000000,-2.255566,1.727606
0.000000,-2.143905,1.874353
0.000000,-2.013685,2.007363
0.000000,-1.865560,2.125012
0.000000,-1.700377,2.225734
0.000000,-1.519174,2.308048
0.000000,-1.323183,2.370579
0.000000,-1.113817,2.412089
0.000000,-0.892671,2.431496
0.000000,-0.661509,2.427905
0.000000,-0.422254,2.400632
0.000000,-0.176977,2.349227
0.000000,0.072119,2.273493
0.000000,0.322715,2.173513
0.000000,0.572390,2.049661
0.000000,0.818643,1.902618
0.000000,1.058911,1.733382
0.000000,1.290590,1.543271
0.000000,1.511059,1.333928
0.000000,1.717704,1.107311
0.000000,1.907945,0.865689
0.000000,2.079264,0.611619
0.000000,2.229235,0.347930
0.000000,2.355559,0.077690
0.000000,2.456102,-0.195825
0.000000,2.528931,-0.469175
0.000000,2.572355,-0.738801
0.000000,2.584969,-1.001073
0.000000,2.565699,-1.252351
0.000000,2.513844,-1.489042
0.000000,2.429119,-1.707656
0.000000,2.311693,-1.904872
0.000000,2.162225,-2.077595
0.000000,1.981890,-2.223014
0.000000,1.772398,-2.338649
0.000000,1.536002,-2.422407
0.000000,1.275498,-2.472613
0.000000,0.994203,-2.488049
0.000000,0.695929,-2.467975
0.000000,0.384943,-2.412154
0.000000,0.065904,-2.320857
0.000000,-0.256199,-2.194876
0.000000,-0.576132,-2.035520
0.000000,-0.888502,-1.844615
0.000000,-1.187857,-1.624495
0.000000,-1.468795,-1.377994
0.000000,-1.726065,-1.108425
0.000000,-1.954689,-0.819570
0.000000,-2.150069,-0.515645
0.000000,-2.308098,-0.201273
0.000000,-2.425265,0.118560
0.000000,-2.498750,0.438558
0.000000,-2.526509,0.753181
0.000000,-2.507343,1.056722
0.000000,-2.440950,1.343403
0.000000,-2.327957,1.607483
0.000000,-2.169927,1.843379
0.000000,-1.969351,2.045797
0.000000,-1.729610,2.209876
0.000000,-1.454920,2.331325
0.000000,-1.150256,2.406569
0.000000,-0.821263,2.432881
0.000000,-0.474153,2.408504
0.000000,-0.115590,2.332748
0.000000,0.247423,2.206078
0.000000,0.607663,2.030153
0.000000,0.957816,1.807855
0.000000,1.290590,1.543271
0.000000,1.598840,1.241643
0.000000,1.875699,0.909281
0.000000,2.114699,0.553447
0.000000,2.309914,0.182193
0.000000,2.456102,-0.195825
0.000000,2.548856,-0.571562
0.000000,2.584758,-0.935825
0.000000,2.561541,-1.279528
0.000000,2.478233,-1.593948
0.000000,2.335293,-1.870985
0.000000,2.134714,-2.103398
0.000000,1.880080,-2.285015
0.000000,1.576586,-2.410908
0.000000,1.230985,-2.477525
0.000000,0.851477,-2.482779
0.000000,0.447537,-2.426087
0.000000,0.029683,-2.308381
0.000000,-0.390812,-2.132080
0.000000,-0.802246,-1.901040
0.000000,-1.192838,-1.620488
0.000000,-1.551108,-1.296940
0.000000,-1.866252,-0.938105
0.000000,-2.128511,-0.552777
0.000000,-2.329522,-0.150697
0.000000,-2.462630,0.257609
0.000000,-2.523149,0.661030
0.000000,-2.508566,1.048119
0.000000,-2.418664,1.407378
0.000000,-2.255566,1.727606
0.000000,-2.023687,1.998263
0.000000,-1.729610,2.209876
0.000000,-1.381874,2.354437
0.000000,-0.990703,2.425792
0.000000,-0.567694,2.419976
0.000000,-0.125461,2.335495
0.000000,0.322715,2.173513
0.000000,0.763246,1.937942
0.000000,1.182584,1.635417
0.000000,1.567561,1.275163
0.000000,1.905716,0.868741
0.000000,2.185630,0.429681
0.000000,2.397267,-0.026976
0.000000,2.532327,-0.485233
0.000000,2.584615,-0.928752
0.000000,2.550396,-1.341507
0.000000,2.428736,-1.708445
0.000000,2.221761,-2.016108
0.000000,1.934836,-2.253176
0.000000,1.576586,-2.410908
0.000000,1.158764,-2.483445
0.000000,0.695929,-2.467975
0.000000,0.204967,-2.364776
0.000000,-0.295559,-2.177143
0.000000,-0.786152,-1.911245
0.000000,-1.247221,-1.575931
0.000000,-1.659944,-1.182488
0.000000,-2.007120,-0.744387
0.000000,-2.273983,-0.276971
0.000000,-2.448917,0.202903
0.000000,-2.524037,0.677309
0.000000,-2.495613,1.127791
0.000000,-2.364281,1.536015
0.000000,-2.135045,1.884518
0.000000,-1.817053,2.157526
0.000000,-1.423171,2.341795
0.000000,-0.969397,2.427414
0.000000,-0.474153,2.408504
0.000000,0.042481,2.283736
0.000000,0.559535,2.056645
0.000000,1.055904,1.735668
0.000000,1.511059,1.333928
0.000000,1.905716,0.868741
0.000000,2.222503,0.360868
0.000000,2.446619,-0.166453
0.000000,2.566517,-0.688659
0.000000,2.574586,-1.181127
0.000000,2.467808,-1.620487
0.000000,2.248285,-1.985867
0.000000,1.923586,-2.259992
0.000000,1.506775,-2.430026
0.000000,1.016101,-2.488116
0.000000,0.474283,-2.431634
0.000000,-0.092542,-2.263126
0.000000,-0.656170,-1.990073
0.000000,-1.187857,-1.624495
0.000000,-1.659944,-1.182488
0.000000,-2.047443,-0.683693
0.000000,-2.329522,-0.150697
0.000000,-2.490767,0.391679
0.000000,-2.522137,0.917256
