J1,J2,J3
0.000000,1.004051,-1.077310
0.006806,1.003991,-1.077246
0.014155,1.003791,-1.077032
0.022047,1.003421,-1.076636
0.030479,1.002847,-1.076022
0.039449,1.002034,-1.075151
0.048954,1.000943,-1.073984
0.058990,0.999536,-1.072478
0.069553,0.997769,-1.070587
0.080636,0.995599,-1.068264
0.092232,0.992979,-1.065461
0.104335,0.989863,-1.062125
0.116934,0.986199,-1.058203
0.130018,0.981936,-1.053640
0.143575,0.977021,-1.048380
0.157590,0.971400,-1.042363
0.172048,0.965016,-1.035529
0.186930,0.957812,-1.027818
0.202217,0.949731,-1.019167
0.217885,0.940714,-1.009513
0.233909,0.930701,-0.998794
0.250262,0.919634,-0.986944
0.266914,0.907452,-0.973901
0.283832,0.894098,-0.959602
0.300979,0.879512,-0.943983
0.318316,0.863639,-0.926983
0.335801,0.846422,-0.908543
0.353389,0.827808,-0.888605
0.371030,0.807746,-0.867114
0.388671,0.786188,-0.844017
0.406257,0.763088,-0.819266
0.423729,0.738405,-0.792817
0.441022,0.712103,-0.764628
0.458071,0.684151,-0.734666
0.474804,0.654521,-0.702902
0.491148,0.623195,-0.669315
0.507026,0.590160,-0.633887
0.522356,0.555408,-0.596614
0.537055,0.518944,-0.557497
0.551036,0.480777,-0.516546
0.564209,0.440930,-0.473782
0.576482,0.399431,-0.429237
0.587761,0.356321,-0.382954
0.597949,0.311654,-0.334986
0.606948,0.265492,-0.285403
0.614660,0.217912,-0.234283
0.620986,0.169002,-0.181722
0.625827,0.118864,-0.127826
0.629085,0.067612,-0.072720
0.630663,0.015378,-0.016542
0.630467,-0.037698,0.040557
0.628406,-0.091457,0.098407
0.624392,-0.145728,0.156825
0.618343,-0.200325,0.215611
0.610183,-0.255049,0.274550
0.599842,-0.309686,0.333412
0.587260,-0.364009,0.391953
0.572383,-0.417778,0.449915
0.555171,-0.470742,0.507024
0.535592,-0.522637,0.562997
0.513630,-0.573190,0.617537
0.489280,-0.622119,0.670339
0.462554,-0.669132,0.721087
0.433480,-0.713933,0.769459
0.402102,-0.756220,0.815127
0.368483,-0.795689,0.857761
0.332706,-0.832034,0.897029
0.294874,-0.864951,0.932601
0.255108,-0.894140,0.964149
0.213554,-0.919308,0.991354
0.170378,-0.940168,1.013906
0.125768,-0.956447,1.031507
0.079932,-0.967887,1.043877
0.033102,-0.974247,1.050755
-0.014470,-0.975308,1.051902
-0.062513,-0.970874,1.047107
-0.110736,-0.960777,1.036190
-0.158831,-0.944882,1.019003
-0.206474,-0.923087,0.995440
-0.253327,-0.895327,0.965432
-0.299042,-0.861581,0.928958
-0.343262,-0.821869,0.886046
-0.385623,-0.776261,0.836774
-0.425760,-0.724877,0.781277
-0.463308,-0.667889,0.719745
-0.497908,-0.605524,0.652429
-0.529208,-0.538067,0.579642
-0.556870,-0.465861,0.501761
-0.580572,-0.389309,0.419224
-0.600013,-0.308872,0.332535
-0.614918,-0.225072,0.242262
-0.625041,-0.138490,0.149033
-0.630168,-0.049761,0.053537
-0.630126,0.040422,-0.043479
-0.624778,0.131319,-0.141217
-0.614037,0.222144,-0.238830
-0.597861,0.312067,-0.335430
-0.576259,0.400229,-0.430094
-0.549295,0.485742,-0.521873
-0.517085,0.567702,-0.609802
-0.479806,0.645199,-0.692907
-0.437691,0.717323,-0.770223
-0.391031,0.783184,-0.840799
-0.340176,0.841916,-0.903717
-0.285534,0.892698,-0.958102
-0.227570,0.934759,-1.003138
-0.166801,0.967402,-1.038083
-0.103798,0.990009,-1.062282
-0.039177,1.002062,-1.075181
0.026399,1.003148,-1.076344
0.092232,0.992979,-1.065461
0.157590,0.971400,-1.042363
0.221715,0.938394,-1.007030
0.283832,0.894098,-0.959602
0.343156,0.838801,-0.900380
0.398904,0.772951,-0.829835
0.450299,0.697157,-0.748607
0.496590,0.612182,-0.657504
0.537055,0.518944,-0.557497
0.571018,0.418506,-0.449714
0.597861,0.312067,-0.335430
0.617036,0.200949,-0.216056
0.628077,0.086584,-0.093120
0.630616,-0.029507,0.031744
0.624392,-0.145728,0.156825
0.609263,-0.260433,0.280350
0.585219,-0.371948,0.400511
0.552389,-0.478592,0.515490
0.511044,-0.578708,0.623491
0.461610,-0.670683,0.722761
0.404663,-0.752978,0.811626
0.340928,-0.824156,0.888517
0.271278,-0.882902,0.952002
0.196722,-0.928058,1.000814
0.118397,-0.958642,1.033880
0.037548,-0.973871,1.050348
-0.044490,-0.973188,1.049610
-0.126313,-0.956279,1.031326
-0.206474,-0.923087,0.995440
-0.283511,-0.873831,0.942198
-0.355978,-0.809013,0.872156
-0.422473,-0.729425,0.786188
-0.481670,-0.636149,0.685482
-0.532350,-0.530555,0.571539
-0.573425,-0.414291,0.446156
-0.603971,-0.289266,0.311411
-0.623247,-0.157630,0.169638
-0.630717,-0.021744,0.023392
-0.626066,0.115855,-0.124592
-0.609210,0.252493,-0.271438
-0.580309,0.385416,-0.414192
-0.539764,0.511836,-0.549871
-0.488219,0.628998,-0.675537
-0.426553,0.734242,-0.788356
-0.355870,0.825073,-0.885675
-0.277486,0.899225,-0.965092
-0.192904,0.954737,-1.024526
-0.103798,0.990009,-1.062282
-0.011978,1.003865,-1.077111
0.080636,0.995599,-1.068264
0.172048,0.965016,-1.035529
0.260230,0.912455,-0.979258
0.343156,0.838801,-0.900380
0.418852,0.745477,-0.800396
0.485438,0.634429,-0.681360
0.541175,0.508082,-0.545843
0.584519,0.369295,-0.396884
0.614163,0.221298,-0.237921
0.629085,0.067612,-0.072720
0.628594,-0.088025,0.094714
0.612363,-0.241758,0.260233
0.580463,-0.389702,0.419647
0.533387,-0.528041,0.568827
0.472053,-0.653128,0.703810
0.397808,-0.761576,0.820912
0.312412,-0.850352,0.916824
0.217997,-0.916862,0.988711
0.117031,-0.959033,1.034304
0.012244,-0.975379,1.051979
-0.093437,-0.965059,1.040820
