J1,J2,J3
0.630765,0.005447,-0.005859
0.630727,0.014246,0.000843
0.630602,0.023749,0.008080
0.630371,0.033952,0.015851
0.630012,0.044855,0.024153
0.629503,0.056453,0.032985
0.628820,0.068742,0.042342
0.627939,0.081718,0.052221
0.626834,0.095374,0.062617
0.625476,0.109702,0.073523
0.623837,0.124693,0.084934
0.621886,0.140337,0.096840
0.619593,0.156621,0.109232
0.616925,0.173531,0.122099
0.613848,0.191049,0.135427
0.610329,0.209157,0.149203
0.606332,0.227833,0.163410
0.601821,0.247054,0.178028
0.596760,0.266792,0.193039
0.591111,0.287018,0.208418
0.584838,0.307697,0.224141
0.577903,0.328794,0.240179
0.570267,0.350268,0.256501
0.561895,0.372075,0.273075
0.552748,0.394168,0.289863
0.542791,0.416495,0.306826
0.531988,0.438999,0.323923
0.520303,0.461621,0.341106
0.507706,0.484295,0.358326
0.494163,0.506953,0.375532
0.479645,0.529521,0.392667
0.464126,0.551921,0.409672
0.447581,0.574069,0.426484
0.429988,0.595879,0.443036
0.411330,0.617259,0.459260
0.391592,0.638111,0.475082
0.370764,0.658337,0.490427
0.348840,0.677831,0.505214
0.325821,0.696485,0.519362
0.301710,0.714186,0.532787
0.276518,0.730821,0.545401
0.250263,0.746270,0.557115
0.222967,0.760413,0.567838
0.194662,0.773128,0.577477
0.165386,0.784291,0.585939
0.135184,0.793779,0.593131
0.104110,0.801466,0.598957
0.072228,0.807229,0.603325
0.039608,0.810946,0.606143
0.006330,0.812499,0.607320
-0.027515,0.811771,0.606768
-0.061828,0.808651,0.604404
-0.096502,0.803034,0.600146
-0.131418,0.794821,0.593921
-0.166448,0.783921,0.585658
-0.201456,0.770252,0.575297
-0.236297,0.753743,0.562781
-0.270815,0.734336,0.548067
-0.304847,0.711984,0.531117
-0.338223,0.686657,0.511908
-0.370764,0.658337,0.490427
-0.402286,0.627028,0.466673
-0.432599,0.592748,0.440660
-0.461508,0.555539,0.412419
-0.488815,0.515461,0.381992
-0.514320,0.472597,0.349442
-0.537821,0.427053,0.314848
-0.559118,0.378960,0.278306
-0.578013,0.328471,0.239933
-0.594311,0.275768,0.199864
-0.607826,0.221056,0.158255
-0.618376,0.164567,0.115279
-0.625791,0.106560,0.071131
-0.629915,0.047316,0.026027
-0.630602,-0.012855,-0.019800
-0.627727,-0.073621,-0.066097
-0.621183,-0.134625,-0.112593
-0.610881,-0.195491,-0.159001
-0.596760,-0.255821,-0.205018
-0.578781,-0.315200,-0.250326
-0.556937,-0.373198,-0.294596
-0.531247,-0.429373,-0.337490
-0.501764,-0.483273,-0.378662
-0.468574,-0.534443,-0.417760
-0.431797,-0.582423,-0.454432
-0.391592,-0.626759,-0.488328
-0.348152,-0.667002,-0.519103
-0.301710,-0.702717,-0.546422
-0.252535,-0.733485,-0.569962
-0.200935,-0.758911,-0.589418
-0.147255,-0.778629,-0.604508
-0.091875,-0.792304,-0.614975
-0.035212,-0.799642,-0.620592
0.022289,-0.800396,-0.621168
0.080151,-0.794366,-0.616553
0.137871,-0.781411,-0.606637
0.194924,-0.761450,-0.591360
0.250768,-0.734467,-0.570713
0.304847,-0.700518,-0.544740
0.356598,-0.659731,-0.513543
0.405457,-0.612313,-0.477282
0.450865,-0.558546,-0.436181
0.492276,-0.498797,-0.390522
0.529160,-0.433513,-0.340652
0.561017,-0.363220,-0.286979
0.587381,-0.288525,-0.229970
0.607826,-0.210110,-0.170150
0.621978,-0.128729,-0.108099
0.629520,-0.045205,-0.044445
0.630200,0.039580,0.020137
0.623837,0.124693,0.084934
0.610329,0.209157,0.149203
0.589658,0.291961,0.212177
0.561895,0.372075,0.273075
0.527204,0.448461,0.331110
0.485845,0.520087,0.385504
0.438175,0.585941,0.435494
0.384650,0.645047,0.480345
0.325821,0.696485,0.519362
0.262334,0.739398,0.551905
0.194924,0.773019,0.577395
0.124410,0.796679,0.595329
0.051686,0.809824,0.605293
-0.022289,0.812035,0.606968
-0.096502,0.803034,0.600146
-0.169897,0.782699,0.584733
-0.241391,0.751075,0.560759
-0.309894,0.708379,0.528383
-0.374317,0.655008,0.487901
-0.433600,0.591539,0.439743
-0.486721,0.518729,0.384473
-0.532726,0.437513,0.322794
-0.570737,0.348994,0.255533
-0.599980,0.254434,0.183641
-0.619798,0.155238,0.108179
-0.629671,0.052939,0.030309
-0.629228,-0.050824,-0.048726
-0.618267,-0.154335,-0.127619
-0.596760,-0.255821,-0.205018
-0.564865,-0.353485,-0.279548
-0.522934,-0.445543,-0.349840
-0.471510,-0.530249,-0.414554
-0.411330,-0.605936,-0.472407
-0.343318,-0.671050,-0.522199
-0.268575,-0.724187,-0.562847
-0.188369,-0.764121,-0.593405
-0.104110,-0.789845,-0.613093
-0.017338,-0.800594,-0.621321
0.070313,-0.795876,-0.617709
0.157137,-0.775489,-0.602105
0.241391,-0.739544,-0.574598
0.321332,-0.688471,-0.535525
0.395249,-0.623029,-0.485476
0.461508,-0.544298,-0.425291
0.518586,-0.453676,-0.356052
0.565110,-0.352855,-0.279067
0.599895,-0.243804,-0.195851
0.621978,-0.128729,-0.108099
0.630648,-0.010040,-0.017655
0.625476,0.109702,0.073523
0.606332,0.227833,0.163410
0.573403,0.341648,0.249950
0.527204,0.448461,0.331110
0.468574,0.545671,0.404928
0.398671,0.630830,0.469557
0.318960,0.701706,0.523323
0.231184,0.756354,0.564761
0.137334,0.793170,0.592669
0.039608,0.810946,0.606143
-0.059637,0.808923,0.604609
-0.157937,0.786820,0.587856
-0.252787,0.744865,0.556050
-0.341700,0.683809,0.509748
-0.422278,0.604922,0.449899
-0.492276,0.509983,0.377832
-0.549671,0.401246,0.295241
-0.592728,0.281400,0.204147
-0.620052,0.153508,0.106863
-0.630648,0.020933,0.005936
-0.623958,-0.112740,-0.095910
-0.599895,-0.243804,-0.195851
-0.558863,-0.368530,-0.291033
-0.501764,-0.483273,-0.378662
-0.429988,-0.584586,-0.456085
-0.345393,-0.669322,-0.520878
-0.250263,-0.734747,-0.570927
-0.147255,-0.778629,-0.604508
-0.039333,-0.799330,-0.620353
0.070313,-0.795876,-0.617709
0.178362,-0.768006,-0.596378
0.281455,-0.716212,-0.556746
0.376308,-0.641747,-0.499789
0.459816,-0.546611,-0.427058
0.529160,-0.433513,-0.340652
0.581908,-0.305811,-0.243161
0.616110,-0.167421,-0.137596
0.630380,-0.022707,-0.027304
0.623958,0.123649,0.084139
0.596760,0.266792,0.193039
0.549401,0.401860,0.295707
0.483202,0.524145,0.388585
0.400162,0.629268,0.468373
0.302917,0.713342,0.532147
0.194662,0.773128,0.577477
0.079059,0.806172,0.602525
-0.039882,0.810924,0.606126
-0.157937,0.786820,0.587856
-0.270815,0.734336,0.548067
-0.374317,0.655008,0.487901
-0.464499,0.551402,0.409278
-0.537821,0.427053,0.314848
-0.591303,0.286358,0.207916
-0.622651,0.134433,0.092347
-0.630371,-0.023058,-0.027572
-0.613848,-0.180116,-0.147277
-0.573403,-0.330625,-0.262099
-0.510306,-0.468597,-0.367450
-0.426756,-0.588408,-0.459007
-0.325821,-0.685043,-0.532902
-0.211339,-0.754314,-0.585900
-0.087789,-0.793055,-0.615550
0.039882,-0.799286,-0.620319
0.166448,-0.772332,-0.599689
0.286615,-0.712887,-0.554202
0.395249,-0.623029,-0.485476
0.487596,-0.506175,-0.396159
0.559500,-0.366970,-0.289842
0.607605,-0.211127,-0.170926
0.629520,-0.045205,-0.044445
0.623958,0.123649,0.084139
0.590823,0.288007,0.209171
0.531247,0.440483,0.325050
0.447581,0.574069,0.426484
0.343318,0.682470,0.508732
0.222967,0.760413,0.567838
0.091875,0.803929,0.600824
-0.044002,0.810573,0.605860
-0.178362,0.779587,0.582374
-0.304847,0.711984,0.531117
-0.417348,0.610548,0.454169
-0.510306,0.479748,0.354873
-0.579000,0.325565,0.237724
-0.619798,0.155238,0.108179
-0.630371,-0.023058,-0.027572
-0.609840,-0.200599,-0.162897
-0.558863,-0.368530,-0.291033
-0.479645,-0.518313,-0.405434
-0.375866,-0.642167,-0.500110
-0.252535,-0.733485,-0.569962
-0.115764,-0.787209,-0.611075
0.027515,-0.800132,-0.620966
0.169897,-0.771113,-0.598756
0.303883,-0.701197,-0.545259
0.422278,-0.593616,-0.462988
0.518586,-0.453676,-0.356052
0.587381,-0.288525,-0.229970
0.624626,-0.106818,-0.091397
0.627939,0.081718,0.052221
0.596760,0.266792,0.193039
0.532431,0.438108,0.323246
0.438175,0.585941,0.435494
0.318960,0.701706,0.523323
0.181264,0.778482,0.581536
0.032738,0.811451,0.606526
-0.118198,0.798237,0.596510
-0.262834,0.739105,0.551683
-0.392670,0.637017,0.474252
